,Position,Company Name,YOE,CTC,location
12,Lead- Data Science,Think360.ai,5-8 Yrs,Not disclosed,Mumbai
13,Data Science Intern,Relinns,0-1 Yrs,Not disclosed,Mohali
14,Data Science Intern,newAmps consulting pvt. ltd.,0-1 Yrs,Not disclosed,Kolkata
15,Data Science - Intern,Mindworksglobal,0-0 Yrs,Not disclosed,Noida
16,Data Science Intern,newAmps consulting pvt. ltd.,0-3 Yrs,Not disclosed,Kolkata
17,Data Science Intern,Sankhkyiki Robotics,0-1 Yrs,Not disclosed,Mumbai
18,Content Strategist - Intern(Data Science),Testbook Edu Solutions,0-1 Yrs,Not disclosed,"Mumbai, Navi Mumbai"
19,Data Science / Machine Learning stream project intern,Vikatan,0-1 Yrs,Not disclosed,Chennai
0,Kantar - SQL+ Data Science +Power BI Consultant/Senior Consultant,TNS - Subsidary of Kantar Group,1-6 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid)
1,"Senior Data Scientist, Data Sciences",Vmware,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
2,Software Developer - NLP /machine Learning/ Data Science,Cunesoft,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
3,Director/ Senior Director - Data Science at Kantar,TNS - Subsidary of Kantar Group,5-10 Yrs,Not disclosed,Chennai(WFH during Covid)
4,Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
5,Software Developer - NLP/Data Science/Machine Learning,Cunesoft India Private Limited (a Phlexglobal Company),3-8 Yrs,Not disclosed,Bangalore/Bengaluru
6,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
7,Senior Analyst - Data Science - IIT/ NIT/ IIM/ XLRI/ FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
8,Principal Consultant / Consulting Partner - Data Science - AI,Wipro,10-18 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"
